C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_37_606.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_37_606.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_37_606.jpg,0,0,0,6.452297E-06
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_37_684.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_37_684.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_37_684.jpg,0,0,0,1.400855E-05
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_37_764.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_37_764.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_37_764.jpg,-0.05,0.0788646,0,0.05349485
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_37_843.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_37_843.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_37_843.jpg,-0.25,0.3163149,0,0.2282554
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_37_923.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_37_923.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_37_923.jpg,0,0.5578986,0,0.6875876
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_38_002.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_38_002.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_38_002.jpg,0,0.793839,0,1.301904
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_38_082.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_38_082.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_38_082.jpg,0,1,0,2.152022
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_38_162.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_38_162.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_38_162.jpg,0,1,0,3.082194
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_38_241.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_38_241.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_38_241.jpg,-0.15,1,0,4.021472
C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\center_2022_07_22_17_23_38_321.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\left_2022_07_22_17_23_38_321.jpg,C:\SelfDrivingMaterials\UDACITY\IMAGE_DATA\IMG\right_2022_07_22_17_23_38_321.jpg,-0.35,1,0,4.940111
